ID,Description,Type,Hanfor_Formalization,Hanfor_Tags,Hanfor_Status
META1,This is an example for some requirements,meta,{},,Todo
META2,Next we define some requirements,meta,{},,Todo
REQ1,备战(prepare for guard): 3.31之前,requirement,"{""0"": {""expressions"": {""P"": """", ""Q"": """", ""R"": ""prepare_for_guard_mode"", ""S"": """", ""T"": """", ""U"": """", ""V"": """"}, ""pattern"": ""Initialization "", ""scope"": ""GLOBALLY""}, ""2"": {""expressions"": {""P"": """", ""Q"": """", ""R"": ""time_finish_3.31"", ""S"": ""finish_prepare_for_guard"", ""T"": ""1"", ""U"": """", ""V"": """"}, ""pattern"": ""Invariant"", ""scope"": ""GLOBALLY""}, ""3"": {""expressions"": {""P"": ""finish_prepare_for_guard  "", ""Q"": """", ""R"": ""prepare_for_guard_mode "", ""S"": """", ""T"": """", ""U"": """", ""V"": """"}, ""pattern"": ""Universality"", ""scope"": ""BEFORE""}}",has_formalization,Todo
REQ2,临战(close to guard):4.1-4.30,requirement,"{""0"": {""expressions"": {""P"": ""prepare_for_guard_mode "", ""Q"": ""finish_close_to_guard"", ""R"": ""close_to_guard_mode"", ""S"": """", ""T"": """", ""U"": """", ""V"": """"}, ""pattern"": ""Universality"", ""scope"": ""AFTER_UNTIL""}, ""1"": {""expressions"": {""P"": """", ""Q"": """", ""R"": ""time_finish_4.30"", ""S"": ""finish_close_to_guard "", ""T"": """", ""U"": """", ""V"": """"}, ""pattern"": ""Invariant"", ""scope"": ""GLOBALLY""}}",has_formalization,Todo
REQ3,实战(practice exercise):5.1-5.31,requirement,"{""0"": {""expressions"": {""P"": ""close_to_guard_mode "", ""Q"": ""finish_practice_exercise"", ""R"": ""practice_exercise_mode"", ""S"": """", ""T"": """", ""U"": """", ""V"": """"}, ""pattern"": ""Universality"", ""scope"": ""AFTER_UNTIL""}, ""1"": {""expressions"": {""P"": """", ""Q"": """", ""R"": ""time_finish_5.31 "", ""S"": ""finish_practice_exercise"", ""T"": """", ""U"": """", ""V"": """"}, ""pattern"": ""Invariant"", ""scope"": ""GLOBALLY""}}",has_formalization,Todo
REQ4,决战(action):6.1-3 day after event,requirement,"{""0"": {""expressions"": {""P"": ""practice_exercise_mode"", ""Q"": ""finish_action_guard"", ""R"": ""action_guard_mode"", ""S"": """", ""T"": """", ""U"": """", ""V"": """"}, ""pattern"": ""Universality"", ""scope"": ""AFTER_UNTIL""}, ""1"": {""expressions"": {""P"": """", ""Q"": """", ""R"": ""time_finish_3_day_after_event"", ""S"": ""finish_action_guard"", ""T"": """", ""U"": """", ""V"": """"}, ""pattern"": ""Invariant"", ""scope"": ""GLOBALLY""}}",has_formalization,Todo
REQ5,总结阶段(summary),requirement,"{""0"": {""expressions"": {""P"": ""action_guard_mode"", ""Q"": """", ""R"": ""summary_mode"", ""S"": """", ""T"": """", ""U"": """", ""V"": """"}, ""pattern"": ""Universality"", ""scope"": ""AFTER""}}",has_formalization,Todo
REQ6,二级保电(l2 guard):6.1-8:00.3 day before event,requirement,"{""0"": {""expressions"": {""P"": ""finish_practice_exercise "", ""Q"": ""finish_l2_guard"", ""R"": ""l2_guard_mode"", ""S"": """", ""T"": """", ""U"": """", ""V"": """"}, ""pattern"": ""Universality"", ""scope"": ""BETWEEN""}, ""1"": {""expressions"": {""P"": """", ""Q"": """", ""R"": ""time_finish_3_day_before_event "", ""S"": ""finish_l2_guard"", ""T"": """", ""U"": """", ""V"": """"}, ""pattern"": ""Invariant"", ""scope"": ""GLOBALLY""}}",has_formalization,Todo
REQ7,一级保电(l1 guard):8:00.3 day before event-8:00.1 day before event 18:00.1 day after event-15:00.3 day after event,requirement,"{""0"": {""expressions"": {""P"": ""finish_l2_guard "", ""Q"": ""finish_l1_guard"", ""R"": ""l1_guard_mode"", ""S"": """", ""T"": """", ""U"": """", ""V"": """"}, ""pattern"": ""Universality"", ""scope"": ""BETWEEN""}, ""1"": {""expressions"": {""P"": ""finish_spec_guard"", ""Q"": ""finish_l1_guard"", ""R"": ""l1_guard_mode "", ""S"": """", ""T"": """", ""U"": """", ""V"": """"}, ""pattern"": ""Universality"", ""scope"": ""BETWEEN""}, ""2"": {""expressions"": {""P"": """", ""Q"": """", ""R"": ""time_finish_1_day_before_event || time_finish_3_day_after_event "", ""S"": ""finish_l1_guard "", ""T"": """", ""U"": """", ""V"": """"}, ""pattern"": ""Invariant"", ""scope"": ""GLOBALLY""}}",has_formalization,Todo
REQ8,特级保电(spec guard):8:00.1 day before event-18:00.1 day after event,requirement,"{""0"": {""expressions"": {""P"": ""finish_l1_guard "", ""Q"": ""finish_spec_guard "", ""R"": ""spec_guard_mode"", ""S"": """", ""T"": """", ""U"": """", ""V"": """"}, ""pattern"": ""Universality"", ""scope"": ""BETWEEN""}, ""1"": {""expressions"": {""P"": """", ""Q"": """", ""R"": ""time_finish_1_day_after_event "", ""S"": ""finish_spec_guard "", ""T"": """", ""U"": """", ""V"": """"}, ""pattern"": ""Invariant"", ""scope"": ""GLOBALLY""}}",has_formalization,Todo
REQ9,巡逻队定时巡逻与换班,requirement,{},,Todo
REQ10,巡逻队遇到设备故障,requirement,{},,Todo
REQ11,监控队监控,requirement,{},,Todo
REQ12,监控队故障响应,requirement,{},,Todo
REQ13,抢修队故障响应,requirement,{},,Todo
